Common 共同普遍 common
comfortable 舒服 comfortable
exactly 恰恰究竟 exactly
opposite 相反对立 opposite
execute 运行 execute
micro 微 micro
main 主 main
failure 失败 failure
initial 初始 initial
initialization 初始化 initialization
exercise 练习 exercise
scroll 滚动 scroll
back 背部后面 back
space 空格 space
pause 暂停 pause
road 路 road
bare 空裸 bare
repository 知识库 repository
fulfill 满足 fulfill
assign 赋值 assign
source 资源 source
reference 参照 reference
member 成员 member
duplicate 重复 duplicate
python 蟒蛇 python
option 选项 option
necessary 必要 necessary
prefix 词头字首 prefix
Pixel 像素 Pixel
extract 提取 extract
